MatrixSize;Sparsity;Runtime_ms;NNZ_A;NNZ_B;NNZ_C
256;0.25;11;49099;49166;65536
256;0.5;3;32750;32876;65536
256;0.9;3;6503;6482;60364
256;0.999;2;57;57;13
512;0.25;17;196734;196273;262144
512;0.5;17;131227;131162;262144
512;0.9;19;26171;26498;260726
512;0.999;19;287;241;131
1024;0.25;258;786497;785837;1048576
1024;0.5;193;524678;524531;1048576
1024;0.9;157;104276;104286;1048532
1024;0.999;164;1117;1078;1186
2048;0.25;3208;3146842;3144586;4194304
2048;0.5;3045;2096111;2095394;4194304
2048;0.9;2833;419836;420507;4194304
2048;0.999;2831;4241;4214;8480
4096;0.25;25016;12584139;12581356;16777216
4096;0.5;26063;8388902;8391542;16777216
4096;0.9;25627;1677652;1677394;16777216
4096;0.999;25523;16571;16750;68010
