Algorithm;MatrixSize;AllocatedBytes
Classic;128;134016
Strassen;128;1257760
LoopUnrolling;128;133648
Tiled;128;133808
Classic;256;529424
Strassen;256;12808592
LoopUnrolling;256;529424
Tiled;256;529424
Classic;512;2107408
Strassen;512;105532576
LoopUnrolling;512;2107408
Tiled;512;2107408
Classic;1024;8409104
Strassen;1024;801929744
LoopUnrolling;1024;8409104
Tiled;1024;8409104
Classic;2048;33595408
Strassen;2048;5865740320
LoopUnrolling;2048;33595408
Tiled;2048;33595408
Classic;4096;134299664
Strassen;4096;42067962512
LoopUnrolling;4096;134299664
Tiled;4096;134299664
